id,nom,type,etat,commune,lon,lat,categorie
1.0,Aire de jeux du clown chocolat (Ginko),3 mâts,EN_SERVICE,33063,-0.5727240277499955,44.87754911206936,Brumisateur
2.0,Aire de jeux du parc du Grand Parc,13 mâts,MAINTENANCE,33063,-0.5827073337495278,44.86053568633422,Brumisateur
4.0,Jardin des Barrières (à proximité de l’aire de jeux),1 mât,SUPPRIME,33063,-0.5661753608500686,44.81261892650692,Brumisateur
5.0,"Jardin Public (fontaine Wallace, à proximité de l’aire de jeux du Muséum)",Fontaine Wallace,MAINTENANCE,33063,-0.578917185231226,44.84835929505967,Brumisateur
6.0,"Parc aux Angéliques (en face de Darwin, à proximité de l’aire de street work out)",3 mâts,MAINTENANCE,33063,-0.5592041239081031,44.85154947391129,Brumisateur
7.0,Parc Cérey,5 mâts,EN_SERVICE,33063,-0.6027342589271544,44.85019059270319,Brumisateur
10.0,Place de la Victoire,Pergolas végétalisée,MAINTENANCE,33063,-0.5720858497038516,44.830989290483934,Brumisateur
21.0,Place Paul Doumer,Pergolas végétalisée,SUPPRIME,33063,-0.574250649005714,44.85189563809439,Brumisateur
22.0,Place Buscaillet,Pergolas végétalisée,SUPPRIME,33063,-0.5498919416297392,44.87041844877927,Brumisateur
23.0,Place Cardinal Donnet,Pergolas végétalisé,MAINTENANCE,33063,-0.5634552136238977,44.82230598692125,Brumisateur
31.0,Eglise Sainte Croix Renaudel,Pergolas végétalisée,SUPPRIME,33063,-0.56095603256956,44.83073028878728,Brumisateur
32.0,Ponton Yves Parlier 1,Pergolas végétalisée,SUPPRIME,33063,-0.5633960958935853,44.84203104352538,Brumisateur
41.0,Ponton Yves Parlier 2,Pergolas végétalisée,SUPPRIME,33063,-0.5629200169192753,44.84162634063091,Brumisateur
51.0,Bassin à flot,,MAINTENANCE,33063,-0.5563784519546906,44.8696059571705,Brumisateur
52.0,De lussy,,MAINTENANCE,33063,-0.6060881080323901,44.840383028885455,Brumisateur
53.0,Place des Martyrs,,MAINTENANCE,33063,-0.5851224033152497,44.84236104889477,Brumisateur
54.0,Place Fernard Lafargue,,MAINTENANCE,33063,-0.5717897908252833,44.837031815529436,Brumisateur
55.0,Béchade,,MAINTENANCE,33063,-0.5981912896474959,44.82660326283032,Brumisateur
56.0,André Meunier,,MAINTENANCE,33063,-0.56248603296344,44.829419916116485,Brumisateur
57.0,Armagnac,,MAINTENANCE,33063,-0.5548072436922751,44.82036303336128,Brumisateur
58.0,Fernand Buisson,,MAINTENANCE,33063,-0.5513076491308087,44.82414587812704,Brumisateur
59.0,Quai Deschamps,,MAINTENANCE,33063,-0.557634367886178,44.837576002414174,Brumisateur
1.0,J. Lewis Brown,BAYARD,fonctionnelle,33063,-0.5608207350033559,44.863239439273954,Fontaine
4.0,Place Saint Michel,METALCO,fonctionnelle,33063,-0.5665452083357112,44.8343402809431,Fontaine
5.0,Place Saint Michel,METALCO,fonctionnelle,33063,-0.5664590333341131,44.83344486927675,Fontaine
11.0,Place de l’Eglise St Amand,TANA,fonctionnelle,33063,-0.6150448649982171,44.85215358761391,Fontaine
16.0,Place des Martyrs de la Résistance (proche basilique Saint Seurin),TANA,fonctionnelle,33063,-0.5852529883395016,44.84311295594552,Fontaine
22.0,Cité Dasvin de Bois Marin,DELABIE,fonctionnelle,33063,-0.5454759250060712,44.850809104275605,Fontaine
23.0,Rue Lafonfaine,BAYARD,fonctionnelle,33063,-0.5716323133331113,44.827006779279984,Fontaine
24.0,Quai de Queyries (en face des pontons) chantier naval,METALCO,fonctionnelle,33063,-0.560039213337174,44.8516311492775,Fontaine
25.0,Quai de Queyries,TANA,fonctionnelle,33063,-0.5640046149993223,44.848330185947034,Fontaine
28.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5685126633339288,44.84081593427506,Fontaine
34.0,Quai Rive Gauche,TANA,fonctionnelle,33063,-0.5661280116692158,44.8532904992722,Fontaine
37.0,Jardin de l’hôtel de ville,WALLACE,fonctionnelle,33063,-0.5800773566656642,44.83814670760827,Fontaine
39.0,Jardin Public,WALLACE,fonctionnelle,33063,-0.5789283099945084,44.84836193427335,Fontaine
42.0,Place du Général Sarrailh,WALLACE,hors service,33063,-0.5728118827164953,44.83230226874314,Fontaine
43.0,Place Calixte Camelle,PRESTO,hors service,33063,-0.5502556540937078,44.843123011990265,Fontaine
45.0,Place Ferdinand Buisson,METLACO,fonctionnelle,33063,-0.5510932277570527,44.82399172273586,Fontaine
48.0,Parc Bordelais (proche entrée rue Carnot),PRESTO,fonctionnelle,33063,-0.6026108366651411,44.850475180947484,Fontaine
49.0,Parc Bordelais (estrade croisement 6 chemins),PRESTO,hors service,33063,-0.6031184283310606,44.85044049094605,Fontaine
51.0,Parc Floral Bordeaux-Lac (proche roseraie),PRESTO,fonctionnelle,33063,-0.5655219016661207,44.90517136094263,Fontaine
52.0,Parc Floral Bordeaux-Lac (milieu Parc floralies),PRESTO,fonctionnelle,33063,-0.5632202374007221,44.90122072870514,Fontaine
53.0,Cimetière la Chartreuse n°1,METALCO,fonctionnelle,33063,-0.5984966196130732,44.83569015865735,Fontaine
54.0,Cimetière la Chartreuse n°2,METALCO,fonctionnelle,33063,-0.5984804737537431,44.835316108265296,Fontaine
56.0,Cimetière la Chartreuse n°4,METALCO,fonctionnelle,33063,-0.5983036692934472,44.83351492422684,Fontaine
58.0,Cimetière la Chartreuse n°6,METALCO,fonctionnelle,33063,-0.5979924668013633,44.83505525717814,Fontaine
59.0,Cimetière la Chartreuse n°7,METALCO,fonctionnelle,33063,-0.5977961451126628,44.8343888220462,Fontaine
60.0,Cimetière la Chartreuse n°8,METALCO,fonctionnelle,33063,-0.597418325078146,44.83615817516931,Fontaine
63.0,Cimetière la Chartreuse n°11,METALCO,fonctionnelle,33063,-0.5966020978983444,44.83441782848584,Fontaine
64.0,Cimetière la Chartreuse n°12,METALCO,fonctionnelle,33063,-0.59629455504665,44.83412523315884,Fontaine
68.0,Cimetière la Chartreuse n°16,METALCO,fonctionnelle,33063,-0.594887450020425,44.834499212034885,Fontaine
72.0,Cimetière la Chartreuse n°20,METALCO,fonctionnelle,33063,-0.5954819996898914,44.83681255754392,Fontaine
78.0,Cimetière la Chartreuse n°26,METALCO,fonctionnelle,33063,-0.5929764462067079,44.8350800569355,Fontaine
79.0,Cimetière la Chartreuse n°27,METALCO,fonctionnelle,33063,-0.5925327847013763,44.834687344844234,Fontaine
80.0,Cimetière la Chartreuse n°28,METALCO,fonctionnelle,33063,-0.5915896897278187,44.83495862266523,Fontaine
81.0,Cimetière la Chartreuse n°29,METALCO,fonctionnelle,33063,-0.592304593755046,44.83597578036013,Fontaine
85.0,Cimetière la Chartreuse n°33,METALCO,fonctionnelle,33063,-0.5917412879687968,44.83712237375244,Fontaine
94.0,Cimetière la Chartreuse n°42,METALCO,fonctionnelle,33063,-0.5903357903522765,44.83743840990227,Fontaine
97.0,Cimetière Pins Francs n°3,METALCO,fonctionnelle,33063,-0.6216203316659779,44.85985369094694,Fontaine
98.0,Cimetière Pins Francs n°4,METALCO,fonctionnelle,33063,-0.6208831766613115,44.859997724275665,Fontaine
101.0,Cimetière Pins Francs n°7,METALCO,fonctionnelle,33063,-0.6198679649944455,44.85860687094346,Fontaine
112.0,Cimetière Nord n°3,METALCO,fonctionnelle,33075,-0.5919453450025831,44.87488994927513,Fontaine
114.0,Cimetière Nord n°5,METALCO,fonctionnelle,33075,-0.5943505900017984,44.875246630944275,Fontaine
116.0,Cimetière Nord n°7,METALCO,fonctionnelle,33075,-0.595547993330933,44.87496896427596,Fontaine
120.0,Cimetière Nord n°11,Borne Béton,fonctionnelle,33075,-0.591569459994691,44.873876619277546,Fontaine
121.0,Cimetière Nord n°12,Borne Béton,fonctionnelle,33075,-0.5912810683333283,44.87269396094529,Fontaine
125.0,Cimetière Nord n°16,METALCO,fonctionnelle,33075,-0.5923383216700485,44.87624659927879,Fontaine
126.0,Cimetière Nord n°17,METALCO,fonctionnelle,33075,-0.5917553483301122,44.876913199279926,Fontaine
131.0,Cimetière Nord n°22,Borne Béton,fonctionnelle,33075,-0.5939308216673793,44.87612857594502,Fontaine
132.0,Cimetière Nord n°23,METALCO,fonctionnelle,33075,-0.5950530800036439,44.87585749927331,Fontaine
135.0,Cimetière Nord n°26,METALCO,fonctionnelle,33075,-0.5910103333280968,44.8762118742726,Fontaine
138.0,Cimetière Nord n°29,robinet mural,fonctionnelle,33075,-0.5941846883327909,44.87664652927246,Fontaine
139.0,Cimetière Nord n°30,METALCO,fonctionnelle,33075,-0.594184688331584,44.87664652927341,Fontaine
144.0,Parc Bordelais (proche animaux),PRESTO,fonctionnelle,33063,-0.6037505900050445,44.850522434271625,Fontaine
145.0,Parc Bordelais (aire de jeux du parc Cerey  entrée),PRESTO,fonctionnelle,33063,-0.6045929499943546,44.851398230946,Fontaine
148.0,Quai des Salinières (Grave),FONTAINE MONUMENT PIERRE,fonctionnelle,33063,-0.5621183816728135,44.834504599275334,Fontaine
150.0,Quai des salinieres,FONTAINE EN RANGEE,fonctionnelle,33063,-0.5611345900001954,44.833927489272675,Fontaine
155.0,Place lafargue,PRESTO,fonctionnelle,33063,-0.571834595933436,44.837102114452605,Fontaine
156.0,Parc Rivière n°1 (maison),PRESTO,fonctionnelle,33063,-0.585794953331456,44.85548036427987,Fontaine
160.0,Place Puy Paulin,METALCO,fonctionnelle,33063,-0.5762384626274856,44.841125208606016,Fontaine
166.0,AUBIERS CITY STADE,PRESTO,fonctionnelle,33063,-0.5700018000014346,44.87189741427395,Fontaine
173.0,Cours du quebec face station des berges du lac,METALCO,fonctionnelle,33063,-0.5709798583304904,44.87925251260626,Fontaine
174.0,Plage du lac/Bld jacques chaban delmas,PRESTO,fonctionnelle,33075,-0.5790851948510053,44.87783144643056,Fontaine
176.0,Place georges porto riche,WALLACE,fonctionnelle,33063,-0.5722971922394011,44.84189131636925,Fontaine
177.0,Place de la republique,PRESTO,fonctionnelle,33063,-0.5788637883330857,44.83489267594735,Fontaine
183.0,Face galerie des beaux arts (en pierre),PRESTO,fonctionnelle,33063,-0.5819768783334576,44.838685814276204,Fontaine
185.0,"Parc Pincon, aire de jeux",METALCO,fonctionnelle,33063,-0.5457294187296334,44.84521721864546,Fontaine
187.0,"Jardins des Barrières, aire de jeux",DELABIE,fonctionnelle,33063,-0.5662146804892807,44.81265305462075,Fontaine
193.0,"Square Bertrand de Goth, dans le parc",PRESTO,fonctionnelle,33063,-0.5774987759455112,44.819336872346874,Fontaine
